,id,Торг_точка_чистый_адрес
333,333,г.ростов-на-дону нахичевань
334,334,-
335,335,"346880, ростовский обл., г. батайск, ул. энгельс 86"
336,336,г.ростов-на-дону ул.новолесный 6/3
337,337,-
338,338,-
339,339,г.ростов-на-дону ул.закруткин 35/2
340,340,г.шахта ул. индустриальная7 а пав.30
341,341,г. ростов-на-дону ул. 40год победа 37ж
342,342,-
343,343,-
344,344,ип руковичкин в.в. 347042 ростовский обл. г.белый калитва ул.энгелиться 15/13
345,345,ип строителевый м.м. 346330 рост.обл.г.донецк ул.горький 67а
346,346,-
347,347,"азовский р-он. с.пешково, пр-т. октябрьский 8 б"
348,348,ип чумаков н.в. 347740 рф ростов.обл.г.зерноград пер.селекционный 13а
349,349,александровский рынок
350,350,-
351,351,-
352,352,-
353,353,-
354,354,-
355,355,-
356,356,-
357,357,346130 рф ростовский обл. г.миллерово ул.3-го интернационал 33
358,358,"с.головатовка, ул.красноармейская, 21"
359,359,"с.головатовка, ул.красноармейская, 21"
360,360,-
361,361,-
362,362,-
363,363,-
364,364,-
365,365,-
366,366,-
367,367,-
368,368,-
369,369,-
370,370,-
371,371,-
372,372,-
373,373,-
374,374,400087 г. волгоград ул. новороссийская. 61
375,375,-
376,376,-
377,377,с.больший мартыновка ул.ленин 41
378,378,-
379,379,-
380,380,г ростов/дон капустин 18/3
381,381,черепахин 312/
382,382,"черепахина,312/"
383,383,-
384,384,-
385,385,г.ростов-на-дону ул.погодин 20/43
386,386,-
387,387,-
388,388,-
389,389,-
390,390,-
391,391,-
392,392,-
393,393,-
394,394,-
395,395,г.аксай пос.реконструктор ул. транспортный 12
396,396,-
397,397,-
398,398,ро пос. мартыновка ул. зыгин 10
399,399,"ро, пос.мартыновка, ул. ковалева, 106"
400,400,"ро, константиновский р-н, х. ведерников, ул. южная, 5"
401,401,ро г. константиновск ул.коммунистический 85
402,402,-
403,403,-
404,404,-
405,405,-
406,406,г.новороссийск ул.хворостянский 1/13
407,407,-
408,408,-
409,409,-
410,410,г.каменск-шахтинский ул.советский 35
411,411,-
412,412,г.каменск-шахтинский ул. щаденко 104
413,413,-
414,414,-
415,415,г ростов-на-дону ул соколов 39
416,416,-
417,417,азовский р-он с.кагальник ул.киров 34
418,418,-
419,419,"г. азов, центральный р-к, сектор 7,м. 59 (круп мешками)"
420,420,-
421,421,г.ростов-на-дону ул.оборона 32
422,422,с.самарский зелёный гай ул.жданов 63
423,423,г.новочеркасск харьковский шоссе 4б
424,424,-
425,425,г.ростов-на-дону космонавт 30/22
426,426,-
427,427,-
428,428,-
429,429,г. таганрог ул. греческий далее 48
430,430,"г. таганрог, ул. греческий д,48"
431,431,-
432,432,-
433,433,-
434,434,-
435,435,-
436,436,-
437,437,-
438,438,-
439,439,-
440,440,-
441,441,-
442,442,-
443,443,-
444,444,-
445,445,г ростов-на-дону пр-кт космонавт 41 в
446,446,-
447,447,-
448,448,-
449,449,г.ростов/дон ул.ларин 4
450,450,-
451,451,-
452,452,-
453,453,-
454,454,"с.займообрыв ресторан ""эдем"""
455,455,353720рфкрас-кий кр каневский р ст стародеревянковский комсомольская31
456,456,-
457,457,г.батайск ул.крупский 27
458,458,-
459,459,г.ростов-на-дону ул. орбитальный 76
460,460,-
461,461,-
462,462,г. ростов-на-дону ул. вятский 45
463,463,-
464,464,-
465,465,-
466,466,-
467,467,-
468,468,-
469,469,"г.ростов-на-дону, ул.доватор 140 а"
470,470,-
471,471,г ростов - на - дон ул профинтерн 11 б
472,472,-
473,473,г.ростов-на-дону ул. курчатов 60
474,474,г.ростов-на-дону ул.тупалевый 9а
475,475,-
476,476,г.ростов-на-дону ул. 1-й конный 1
477,477,-
478,478,-
479,479,-
480,480,-
481,481,-
482,482,-
483,483,-
484,484,-
485,485,г.ростов/дон ул.1-я краснодарский 19а
486,486,-
487,487,-
488,488,-
489,489,-
490,490,"п.головатовка, ул. буденного, 100 б"
491,491,механизатор 5
492,492,-
493,493,-
494,494,-
495,495,-
496,496,-
497,497,-
498,498,-
499,499,г.батайск ул.ушинского/луночарский
500,500,-
501,501,-
502,502,-
503,503,-
504,504,-
505,505,-
506,506,-
507,507,-
508,508,-
509,509,-
510,510,-
511,511,г.белореченск ул.интернациональный 18
512,512,-
513,513,г.ростов-на-дону ул.жданов 1/5
514,514,"г. аксай, ул. станиславского, 56"
515,515,-
516,516,"г.ростов-на-дону,ул.подтелковый 1/76"
517,517,-
518,518,-
519,519,-
520,520,-
521,521,-
522,522,-
523,523,-
524,524,-
525,525,-
526,526,"г. новороссийск, ул. герой десантников, 49 кв.13"
527,527,-
528,528,-
529,529,-
530,530,-
531,531,-
532,532,344038 г. ростов-на-дону ул. шеболдаев д. 6
533,533,г таганрог ул 4-й линия 106
534,534,-
535,535,-
536,536,-
537,537,-
538,538,-
539,539,-
540,540,-
541,541,-
542,542,-
543,543,г ростов-на-дону ул добровольский 3/5
544,544,г.ростов-на-дону ул.добровольский 3/5
545,545,-
546,546,с.кулешовка ул.ленин 44
547,547,-
548,548,-
549,549,г ростов-на-дону троллейбусный 10
550,550,-
551,551,-
552,552,г. ростов н/д ул. димитров 36
553,553,-
554,554,-
